AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
27.3,1.88,0.58,0.13,0.6,15.2,15.8,27.2,44.0,28.0,0.0,78.0,1.3,2.01,169.0,161.0,0.9,0.9
26.9,1.96,0.59,0.15,0.3,15.8,16.1,20.4,55.0,41.0,0.0,82.0,2.0,2.11,179.0,174.0,0.9,0.6
26.8,1.99,0.58,0.14,0.3,16.7,16.9,20.3,65.0,53.0,0.0,83.0,2.6,2.13,173.0,172.0,1.6,1.1
26.7,1.94,0.42,0.11,0.3,10.5,10.8,28.4,68.0,54.0,0.0,84.0,3.0,2.05,174.0,173.0,1.3,1.1
26.5,1.96,0.41,0.12,0.3,10.0,10.2,29.4,71.0,52.0,0.0,85.0,3.0,2.08,182.0,170.0,1.3,1.0
26.2,1.95,0.38,0.12,0.3,9.5,9.8,24.2,61.0,44.0,0.0,83.0,2.4,2.07,185.0,177.0,1.2,0.7
26.0,1.96,0.4,0.13,0.3,9.0,9.2,24.7,67.0,47.0,0.0,84.0,2.5,2.09,178.0,183.0,0.8,0.7
26.1,1.93,0.41,0.12,0.3,8.3,8.5,26.7,68.0,49.0,0.0,83.0,2.3,2.05,168.0,171.0,0.8,0.8
26.3,1.92,0.48,0.15,1.7,16.5,18.2,17.6,66.0,43.0,0.0,81.0,2.4,2.07,163.0,109.0,0.7,0.5
27.1,1.93,0.71,0.2,3.0,16.6,19.6,24.6,65.0,46.0,0.0,79.0,2.9,2.13,190.0,219.0,0.9,0.6
28.2,1.88,0.59,0.15,3.7,16.9,20.6,32.0,69.0,46.0,0.0,77.0,3.2,2.03,180.0,191.0,1.3,0.9
29.2,1.84,0.46,0.13,2.1,12.3,14.4,48.5,66.0,52.0,0.0,74.0,4.1,1.97,285.0,308.0,1.6,0.9
30.0,1.81,0.41,0.1,1.1,9.4,10.6,64.5,63.0,45.0,0.0,69.0,3.9,1.91,294.0,301.0,1.8,1.2
30.9,1.79,0.4,0.1,0.6,6.1,6.7,70.4,61.0,44.0,0.0,65.0,3.1,1.89,289.0,277.0,2.3,1.9
30.8,1.78,0.38,0.08,0.3,5.8,6.3,71.4,60.0,41.0,0.0,65.0,3.1,1.86,299.0,304.0,2.2,2.1
30.8,1.78,0.37,0.06,0.7,5.6,6.2,72.1,56.0,46.0,0.0,66.0,2.7,1.84,292.0,293.0,3.0,2.4
29.9,1.76,0.34,0.04,0.5,5.4,5.9,72.4,62.0,44.0,0.0,71.0,3.6,1.8,308.0,12.0,1.7,1.1
29.7,1.75,0.32,0.06,0.5,7.0,7.5,64.8,52.0,39.0,0.0,72.0,3.6,1.81,321.0,343.0,1.2,0.5
29.2,1.75,0.34,0.08,0.6,8.8,9.4,59.2,52.0,38.0,0.0,74.0,3.4,1.83,335.0,335.0,1.2,0.6
28.9,1.8,0.44,0.13,0.3,12.5,12.9,49.6,51.0,36.0,0.0,76.0,3.7,1.93,45.0,17.0,1.0,0.7
28.7,1.86,0.56,0.26,0.3,18.8,19.1,39.2,61.0,39.0,0.0,75.0,4.0,2.12,45.0,29.0,1.3,0.9
28.5,1.87,0.57,0.31,0.6,21.6,22.2,36.8,62.0,44.0,0.0,74.0,4.6,2.18,66.0,68.0,1.1,1.1
28.2,1.96,0.76,0.31,1.2,31.1,32.3,19.9,65.0,49.0,0.0,76.0,6.0,2.27,156.0,159.0,1.4,0.4
27.5,1.96,0.8,0.26,2.0,31.8,33.8,9.7,65.0,49.0,0.0,82.0,3.8,2.22,225.0,165.0,1.3,0.4
27.1,1.95,0.65,0.22,2.8,26.6,29.4,9.7,66.0,51.0,0.0,84.0,3.6,2.17,172.0,177.0,1.1,0.9
26.5,1.91,0.46,0.13,0.7,15.9,16.6,17.1,56.0,47.0,0.0,86.0,3.2,2.04,171.0,164.0,1.4,0.9
